time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1669019961.50874162,0.00335637,0.00011280,0.00000164,5986.00000000,0.00169546,0.000000,0.000000
1669019961.54234171,0.00335675,0.00020279,0.00000356,5989.00000000,0.00355433,0.000000,0.000000
1669019961.57498169,0.00335614,0.00018225,0.00000377,5991.00000000,0.00303756,0.000000,0.000000
1669019961.60954165,0.00336012,0.00030621,0.00000425,6004.00000000,0.00543852,0.000000,0.000000
1669019961.64218163,0.00336336,0.00047355,0.00000516,6016.00000000,0.00505488,0.000000,0.000000
1669019961.67482162,0.00337071,0.00024524,0.00000687,6022.00000000,0.00722059,0.000000,0.000000
1669019961.70938158,0.00336827,0.00011215,0.00000247,6033.00000000,0.00209119,0.000000,0.000000
1669019961.74202156,0.00336557,0.00014747,0.00000183,6042.00000000,0.00194492,0.000000,0.000000
1669019961.77562165,0.00336481,0.00018007,0.00000351,6057.00000000,0.00296398,0.000000,0.000000
1669019961.80826163,0.00337093,0.00011643,0.00000725,6064.00000000,0.00660174,0.000000,0.000000
1669019961.84282160,0.00337621,0.00030525,0.00000604,6071.00000000,0.00617097,0.000000,0.000000
1669019961.87546158,0.00337534,0.00017635,0.00000323,6085.00000000,0.00291434,0.000000,0.000000
1669019961.90810156,0.00337359,0.00017947,0.00000180,6092.00000000,0.00244358,0.000000,0.000000
1669019961.94266152,0.00336953,0.00007695,0.00000155,6108.00000000,0.00120758,0.000000,0.000000
1669019961.97530174,0.00336715,0.00014323,0.00000169,6112.00000000,0.00209827,0.000000,0.000000
1669019962.00890160,0.00336497,0.00013429,0.00000199,6120.00000000,0.00220350,0.000000,0.000000
1669019962.04154158,0.00336536,0.00021461,0.00000346,6126.00000000,0.00356995,0.000000,0.000000
1669019962.07610154,0.00336161,0.00009158,0.00000173,6134.00000000,0.00135289,0.000000,0.000000
1669019962.10873389,0.00336160,0.00021733,0.00000268,6137.00000000,0.00335528,0.000000,0.000000
1669019962.14233398,0.00335931,0.00012698,0.00000259,6146.00000000,0.00213180,0.000000,0.000000
1669019962.17497396,0.00335721,0.00014075,0.00000182,6151.00000000,0.00222275,0.000000,0.000000
1669019962.20953393,0.00335445,0.00014147,0.00000168,6161.00000000,0.00186603,0.000000,0.000000
1669019962.24217391,0.00335546,0.00020645,0.00000384,6175.00000000,0.00390074,0.000000,0.000000
1669019962.27481389,0.00335532,0.00022948,0.00000339,6181.00000000,0.00327622,0.000000,0.000000
1669019962.30937386,0.00335803,0.00026225,0.00000462,6187.00000000,0.00483227,0.000000,0.000000
1669019962.34201384,0.00335676,0.00016942,0.00000189,6192.00000000,0.00266336,0.000000,0.000000
1669019962.37561393,0.00335542,0.00021073,0.00000272,6204.00000000,0.00262567,0.000000,0.000000
1669019962.40825391,0.00335734,0.00024704,0.00000309,6206.00000000,0.00440767,0.000000,0.000000
1669019962.44281387,0.00335336,0.00006748,0.00000164,6218.00000000,0.00117649,0.000000,0.000000
1669019962.47545385,0.00336098,0.00045681,0.00000589,6223.00000000,0.00753771,0.000000,0.000000
1669019962.50809383,0.00335890,0.00015418,0.00000226,6230.00000000,0.00221400,0.000000,0.000000
1669019962.54265404,0.00336391,0.00064417,0.00000638,6232.00000000,0.00611954,0.000000,0.000000
1669019962.57529402,0.00336077,0.00009374,0.00000199,6237.00000000,0.00163072,0.000000,0.000000
1669019962.60889387,0.00335858,0.00014547,0.00000175,6241.00000000,0.00215123,0.000000,0.000000
